Dimension,Column,NR_articles,n,NR_%
Platform architecture,D3_Platform_architecture_norm,2,19,10.5
Processing mode,D3_Processing_mode_norm,1,19,5.3
Communication/technology,D3_Communication_and_tech_norm,2,19,10.5
Visualization and alerting,D3_Visualization_alerting_norm,3,19,15.8
Deployment context,D3_Deployment_context_norm,0,19,0.0
Hardware and sensors,D3_Hardware_and_sensors_norm,1,19,5.3
Real-time operation,D3_Real_time_characteristics_norm,1,19,5.3
