value,k
Mamdani,7
ANFIS,6
Hybrid_Fuzzy,3
Sugeno,3
ADFIST,2
Type1_FIS,2
Other:RANFIS,1
Other:TSK,1
Other:Fuzzy_ARTMAP,1
Other:Tsukamoto,1
I-ANFIS,1
