value,k
Linguistic_Labels,10
Other:Triangular,6
Other:Trapezoidal,3
Gaussian,3
Implicit_MF,2
Other:Triangular_Trapezoidal,1
Other:Bell_Shaped,1
Other:Linear_Output,1
Other:Generalized_Bell,1
Adaptive_MF,1
