"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Smartphone Application As An Air Quality Monitor Using Raspberry Pi For Reducing Air Pollution","P. Siagian; E. Fernando","Faculty of Informatics and Electrical Engineering, Computer Engineering Study Program, Del Institute of Technology, North Sumatera, Indonesia; Information Systems Department, School of Information Systems, Bina Nusantara University, Jakarta, Indonesia",2021 2nd International Conference on Innovative and Creative Information Technology (ICITech),"9 Nov 2021","2021","","","179","183","Good air quality is very important in human health. However, air pollution has been polluted everywhere, whether in the house, in cities. This is caused by a growing industry that produces air pollution. Room air pollution and various cities will contribute to air pollution, which will cause problems for human health. This work measures the carbon monoxide level using the MQ-7 sensor and measures the air's carbon dioxide level with the CCS811 sensor and MH-Z19 sensor. All three sensors are connected to the NodeMCU ESPS266, and we call it a NodeMCU module. Tests are carried out in three rooms in the house, and then three NodeMCU modules are used so that the three modules will send data alternately. Raspberry Pi3 (RPi3) functions as a server that collects data and acquires information data from sensors. Data from the CCS811 (TCOV) sensor, MH-Z19 (co2), will be processed first with fuzzy logic rules to make decisions about CO2, which are right, moderate, nasty conditions. The process is carried out on the Raspberry Pi 3 server with MQTT using publication, customer, fuzzy logic, and broker services. The value of the sensor's measurement results can be accessed via a smartphone and provides good air control values.","","978-1-7281-9747-0","10.1109/ICITech50181.2021.9590187","LPPM ITDel; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9590187","IndoorAir Quality;Raspberry Pi 3;MQ7;MH-Z19;CCS811sensor;module NodeMCU;NodeMCU ESP8266","Atmospheric measurements;Current measurement;Urban areas;Air pollution;Pollution measurement;Mobile applications;Internet","","3","","14","IEEE","9 Nov 2021","23-25 Sept. 2021","23-25 Sept. 2021","IEEE","IEEE Conferences"
"Real-Time CO2 Concentration Monitoring Across Various Environments in Mandalay","K. Z. Zar Myint; M. Aye; T. T. Hla","Dept. Electronic Engineering, Mandalay Technological University, Mandalay, Myanmar; Dept. Electronic Engineering, Mandalay Technological University, Mandalay, Myanmar; Dept. Electronic Engineering, Mandalay Technological University, Mandalay, Myanmar",2025 IEEE Conference on Computer Applications (ICCA),"27 May 2025","2025","","","1","5","The purpose of this research is to develop a system that provides real-time alerts to the residents of Mandalay in the event of hazardous air quality conditions, enabling prompt awareness and response to potential health risks. In addition to Carbon-dioxide levels at Mandalay Technological University (MTU), key urban CO2and suburban areas of Mandalay, including major transportation hubs like highway bus terminals and train stations, are monitored. CO2 conditions in these areas are monitored and analyzed using TTGO Call ESP with Wi-Fi modules microcontrollers and DM118 CO2 sensor. The DM118 offers continuous CO2 measurement, providing real-time data, which is crucial for applications. This feature supports dynamic environmental monitoring where timely responses to air quality changes are essential. A solar energy system as a renewable power source is utilized in the research. The data from DM118 CO2 sensor is transmitted to the ESP32 microcontroller, displayed on a 16*2 LCD display with I2C interface and uploaded to the PythonAnywhere cloud server for remote monitoring and analysis of air quality in real-time. The CO2 data from three locations in Mandalay for October 2024 were obtained from the PythonAnywhere server, downloaded as CSV files and analyzed and compared using charts. The accuracy was calculated by comparing the values measured by ECD MDY.","","979-8-3315-3459-2","10.1109/ICCA65395.2025.11011092","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11011092","TTGO Call ESP 32 with Wi-Fi Module;DM118 CO2 Sensor;16*2 LCD Display;PythonAnywhere","Road transportation;Microcontrollers;Atmospheric measurements;Transportation;Solar energy;Real-time systems;Liquid crystal displays;Pollution measurement;Servers;Wireless fidelity","","","","6","IEEE","27 May 2025","18-18 March 2025","18-18 March 2025","IEEE","IEEE Conferences"
"Enhancing Low-Cost Air Quality Sensors with AI for Smart Green Routing","L. Po; F. Rollo; M. Casari; M. Angelinelli; G. Pedrazzi; R. Turra; C. De Pascali; L. N. Francioso","""Enzo Ferrari"" Engineering Department, University of Modena and Reggio Emilia, Modena, Italy; ""Enzo Ferrari"" Engineering Department, University of Modena and Reggio Emilia, Modena, Italy; ""Enzo Ferrari"" Engineering Department, University of Modena and Reggio Emilia, Modena, Italy; HPC Department, Cineca, Bologna, Italy; HPC Department, Cineca, Bologna, Italy; HPC Department, Cineca, Bologna, Italy; National Research Council, CNR, Institute for Microelectronics and Microsystems, IMM, Lecce, Italy; National Research Council, CNR, Institute for Microelectronics and Microsystems, IMM, Lecce, Italy",2025 20th Conference on Computer Science and Intelligence Systems (FedCSIS),"31 Oct 2025","2025","","","369","374","Urban air pollution poses severe health risks, demanding accurate monitoring and exposure-reducing solutions. Low-Cost air quality sensors (LCS) provide high spatial resolution but suffer from accuracy limitations that hinder their reliability. This paper presents the AIQS project (AI-enhanced air quality sensor for optimizing green routes), an ongoing initiative that combines artificial intelligence, sensor hardware optimization, and pedestrian routing innovation to address these challenges. AIQS applies machine learning techniques, including Multilayer Perceptrons and fuzzy logic, to correct sensor readings. In parallel, hardware-level optimizations, such as fluid dynamics simulations and pre-treatment modules, are explored to enhance sensor performance. The corrected AQ data is then incorporated into a configurable routing tool capable of estimating pollutant exposure and computing low-exposure pedestrian paths in urban environments. First evaluations, shows that our correction models achieve up to 0.92 R2 against reference data across diverse urban environments. The corrected data drives a configurable routing tool that computes paths minimizing cumulative pollution exposure while balancing user preferences (e.g., proximity to green spaces). Preliminary validation in Modena, Italy demonstrates viable ""green routes"".","","978-83-973291-6-4","10.15439/2025F3919","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11214668","Air quality monitoring;Low-Cost sensors;Artificial Intelligence;Machine Learning;Data correction;Fuzzy logic;Green routing;Urban mobility;Pollution exposure","Accuracy;Pedestrians;Computational modeling;Green products;Urban areas;Routing;Sensor systems;Usability;Intelligent sensors;Optimization","","","","19","","31 Oct 2025","14-17 Sept. 2025","14-17 Sept. 2025","IEEE","IEEE Conferences"
"Research on Intelligent Early Fire Warning System Using Adaptive Neuro-Fuzzy Inference System in Green Seaport","T. N. Dinh; H. N. Van; T. D. Anh","Faculty of Navigation, Vietnam Maritime University, Hai Phong, Vietnam; Faculty of Electrical - Electronics Engineering, Vietnam Maritime University, Hai Phong, Vietnam; Faculty of Electrical - Electronics Engineering, Vietnam Maritime University, Hai Phong, Vietnam",2025 3rd International Conference on Smart Systems for applications in Electrical Sciences (ICSSES),"2 Jun 2025","2025","","","1","5","Transportation and storage in warehouses and seaports are increasingly popular and have increased sharply in recent years. Strict fire and explosion prevention requirements must be met with the diversity of goods, incredibly flammable and explosive goods during transportation. Therefore, fire and explosion monitoring and early warning systems in these areas are increasingly developed with innovative technology and artificial intelligence applied in general alarm systems. This paper proposes and tests an early warning system for fire and explosion at seaports based on advanced fire alarm technology. Traditional addressable fire alarm systems integrating stations for collecting real-time gas concentration quality are being studied. At the same time, an early warning system for fire and explosion is built based on the Adaptive Neuro-Fuzzy Interference System (ANFIS) model and data processing algorithms from fire alarm cabinets. The system results were tested in the laboratory and deployed in practice, reaching 92%, and they strongly supported fire prevention and fighting at smart seaports in Vietnam.","","979-8-3315-0767-1","10.1109/ICSSES64899.2025.11009617","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11009617","fire detection and warning system;Adaptive Neuro-Fuzzy Interference System (ANFIS);intelligent fire alarm;smart port","Adaptive systems;Prevention and mitigation;Interference;Alarm systems;Seaports;Smart systems;Real-time systems;Sensor systems;Artificial intelligence;Monitoring","","1","","16","IEEE","2 Jun 2025","21-22 March 2025","21-22 March 2025","IEEE","IEEE Conferences"
"Implementing Fuzzy Logic in Cognitive Sensor Networks for Environmental Monitoring","M. Aarif; A. Anjum; T. Sharma; A. Arikrishnan; V. S. Rao; A. Balakumar","Department of Commerce, Aligarh Muslim University, Aligarh, Uttar Pradesh, India; Dept. of Information Technology & Security, Jazan University, Jazan, KSA; Department of CSE, Rungta College of Engineering & Technology, Chhattisgarh, India; Department of Mathematics, V.R.S College of Engineering and Technology, Villupuram, India; Department of CSE, Koneru Lakshmaiah Education Foundation, Vaddeswaram, Andhra Pradesh, India; Department of ECE, K. Ramakrishnan College of Engineering, Trichy, India","2024 Third International Conference on Electrical, Electronics, Information and Communication Technologies (ICEEICT)","23 Oct 2024","2024","","","1","6","Cognitive Sensor Networks are sophisticated systems that use adaptive mechanisms, fuzzy logic, fuzzy clustering algorithms, and other cutting-edge technologies to improve environmental monitoring through flexibility, accurate decision-making, and efficient handling of sensor data uncertainties. The goal of this research is to better monitor the environment by integrating fuzzy logic into cognitive sensor networks. Fuzzy Inference Systems (FIS), rule-based decision making, fuzzy logic controllers (FLC), adaptive fuzzy systems, and fuzzy clustering techniques are some of the components of the complete framework suggested to address the issues given by uncertainties and imprecisions inherent in environmental data. By creating language variables and membership functions, the FIS represents the complex interactions between input sensor data and ambient conditions. Fuzzy rules and input sensor data provide the foundation for the well-informed judgements made by FLCs. Fuzzy output is transformed into useful control signals through the use of defuzzification techniques. The system has adaptive mechanisms that allow fuzzy logic parameters to be dynamically adjusted in response to changing environmental conditions. With 89.8% accuracy, 91.2% precision, 88.6% recall, and an F1 score of 89.9%, the suggested system outperforms the current approaches, PN-WSNA and CogLEACH, after much testing and analysis.","","979-8-3503-6908-3","10.1109/ICEEICT61591.2024.10718539","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10718539","Cognitive Sensor Networks;Fuzzy Logic;Fuzzy Inference System;Fuzzy Logic Controller;Environmental Monitoring","Fuzzy logic;Adaptive systems;Uncertainty;Accuracy;Decision making;Inference algorithms;Information and communication technology;Environmental monitoring;Testing;Fuzzy systems","","3","","10","IEEE","23 Oct 2024","24-26 July 2024","24-26 July 2024","IEEE","IEEE Conferences"
"Autonomous Robots for Air Quality Control and Sterility Maintenance in Surgical Rooms Using AI and IoT","A. R. Raju; U. U. M. Mohammed; M. Prabha; K. Preethi; M. Muthulekshmi; B. Murukesh","Department of Computer Science and Engineering, Mahatma Gandhi Institute of Technology, Hyderabad, Telangana, India; School of Computer and Information Sciences, University of the Cumberlands, Williamsburg, KY, USA; Department of Electrical and Electronics Engineering, Annapoorana Engineering College (Autonomous), Salem, Tamil Nadu, India; Department of Computer Science and Engineering, University College of Engineering, Pattukkottai, Tamil Nadu, India; Department of Biomedical Engineering, Saveetha School of Engineering, Saveetha Institute of Medical and Technical Sciences Saveetha University, Chennai, Tamil Nadu, India; Department of Management Studies, St. Joseph’s College of Engineering, Chennai, Tamil Nadu, India",2025 International Conference on Smart & Sustainable Technology (INCSST),"28 Oct 2025","2025","","","1","6","In this study, the use of autonomous robots to improve air quality management and sterility in surgical situations is explored. The robots are outfitted with advanced sensors that continually monitor airborne pollutants and ambient conditions using AI and the IoT. The implementation of fuzzy logic control algorithms enables real-time decisionmaking, enabling the process of air filtration and sterilization to be dynamically adjusted depending on changing factors. It details a comprehensive system design that allows easy integration into healthcare networks via data collecting, processing, and communication protocols. The deployment of these autonomous robots seems to greatly enhance compliance with air quality regulations, leading to a decrease in the incidence of surgery site infections, according to preliminary studies. Healthcare providers can provide better care to patients with this novel method, which automates vital operations. Robotics can revolutionize several contemporary surgical procedures, as shown by the results.","","979-8-3315-4192-7","10.1109/INCSST64791.2025.11210254","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11210254","Air Quality Control;Sterility Maintenance;Surgical Rooms;Airborne Contaminants;Environmental Monitoring","Fuzzy logic;Medical services;Air quality;Robot sensing systems;Regulation;Real-time systems;Maintenance;Sensors;Safety;Autonomous robots","","","","20","IEEE","28 Oct 2025","4-6 July 2025","4-6 July 2025","IEEE","IEEE Conferences"
"Performance Analysis of Smart Irrigation System using Fuzzy Logic Method","D. Perdana; A. A. Muayyadi; A. H. Zidan; O. Cahyono; Suntoro; F. C. Hasibuan","School of Electrical Engineering, Telkom University, Bandung, Indonesia; School of Electrical Engineering, Telkom University, Bandung, Indonesia; School of Electrical Engineering, Telkom University, Bandung, Indonesia; Department of Soil Science, University of Sebelas Maret, Surakarta, Indonesia; Department of Soil Science, University of Sebelas Maret, Surakarta, Indonesia; School of Electrical Engineering, Telkom University, Bandung, Indonesia",2022 International Conference on Advanced Creative Networks and Intelligent Systems (ICACNIS),"2 Mar 2023","2022","","","1","6","Indonesia is a country that is rich in types of plants. One of the plants that is often in demand in Indonesia is Chili Plants, but plantations in Indonesia still use a lot of irrigation systems or traditional watering, which is watering only based on seeing how dry or wet the soil is, so that a lot of occurrences occur. crop failure due to improper irrigation or watering. This problem can be solved by making a tool to monitor the humidity in the chili cultivator’s land, by using this tool the water discharge can be adjusted according to the soil moisture. So that not a lot of water is wasted on the chili cultivator’s land. This tool can also monitor the condition of the land for chili cultivators, if the plantation land is dry, the sensor will send a signal to the application that the land is dry and requires water flow, if the humidity on the plantation land is met, the sensor will send a signal to the application so that the water stops flowing, with these parameters in this study apply with fuzzy logic chili irrigation system. This tool can be used as a guide for chili cultivators, to monitorhumidity on the land of chili plant cultivators so that the irrigation system can be monitored accurately and can be done anywhere at any time, without having to make a drain. This results in a high-quality crop.","","979-8-3503-3444-9","10.1109/ICACNIS57039.2022.10055836","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10055836","irrigation;plantation;tilt;chili cultivation;fuzzy logic.","Temperature sensors;Temperature measurement;Fuzzy logic;Irrigation;Databases;Crops;Humidity","","2","","22","IEEE","2 Mar 2023","23-23 Nov. 2022","23-23 Nov. 2022","IEEE","IEEE Conferences"
"AI-Based Real-Time Asthma Risk Prediction and Ventilator Control","A. A. Al-Turk; K. M. Al-Aubidy; M. Baniyounis; M. Al-Khawaldeh","Mechatronics Eng. Dept., Philadelphia University, Jordan; Mechatronics Eng. Dept., Tishk International University, Erbil, Iraq; Mechatronics Eng. Dept., Philadelphia University, Jordan; Mechatronics Eng. Dept., Philadelphia University, Jordan",2025 18th International Conference on Development in eSystem Engineering (DeSE),"4 Feb 2026","2025","","","37","42","Computer and communication technologies' use in healthcare was accelerated by the COVID-19 outbreak, which aimed to control respiratory illnesses such as asthma. Asthma diagnosis is typically based on air quality assessments and peak expiratory flow rate (PEFR). This study presents a smart home healthcare system that utilizes an adaptive neuro-fuzzy inference system (ANFIS) to predict asthma attacks, taking into account the AQI and PEFR. This technology is developed for respiratory monitoring systems. An NN-based controller is used to adjust a mechanical ventilator or CPAP device based on the severity of asthma. Real-time sensor data on various gases, humidity, temperature, and particulate matter is utilized to calculate AQI. The system transmits emergency data to healthcare centers and delivers personalized alerts via a mobile app. The proposed method was highly accurate, with RMSE values of 0.05 for AQI and 0.0045 for predicting asthma severity.","","979-8-3315-8765-9","10.1109/DeSE68208.2025.11367940","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11367940","Asthma prediction;Asthma attack;Air quality index. ANFIS;Machine learning;Real-time monitoring;healthcare systems;Artificial intelligence (AI);Asthma risk monitoring;Asthma control","Temperature sensors;Ventilators;Temperature distribution;Medical services;Smart homes;Air quality;Real-time systems;Mobile applications;Monitoring;Asthma","","","","31","IEEE","4 Feb 2026","10-12 Nov. 2025","10-12 Nov. 2025","IEEE","IEEE Conferences"
"Monitoring System and Control of Air Quality and Light Intensity at ITTelkom Surabaya Greenhouse with Fuzzy Logic","A. Ittaqullah; K. Amiroh; H. Widyantara","Department of Information Technology, Institut Teknologi Telkom Surabaya, Surabaya, Indonesia; Department of Information Technology, Institut Teknologi Telkom Surabaya, Surabaya, Indonesia; Department of Information Technology, Institut Teknologi Telkom Surabaya, Surabaya, Indonesia",2022 1st International Conference on Software Engineering and Information Technology (ICoSEIT),"3 Feb 2023","2022","","","132","137","The intensity of light, temperature, and humidity are some of the factors that can affect the growth of plants. The air quality and light intensity inside the greenhouse building will be very different from outside the greenhouse building because it has a roof and walls that block air and light from entering and hitting the plants inside. Excessive light intensity will increase the room temperature and cause the plants in it to wither. Air quality and light intensity are difficult if controlled directly by humans if it is done regularly and continuously. Greenhouse buildings must require special and consistent maintenance or care to maintain conditions according to desired so that the plants inside are maintained in good condition and grow well. For this reason, a monitoring system and control system for air quality and light intensity were built using the Node MCU ESP8266 microcontroller board by integrating the DHT-11 sensor to detect temperature and humidity and BH-1750 to detect light intensity. In this study, the design of the system and tools can run well. Temperature and humidity parameters can be monitored properly, and implementing the fuzzy logic method on temperature and humidity parameters can also drive a fan/blower with a predetermined fuzzy set. The error difference in simulation and testing on Arduino is 0.18%, indicating the system's accuracy and the tool is running well.","","978-1-6654-7303-3","10.1109/ICoSEIT55604.2022.10030051","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10030051","Greenhouse;Intensity of Light;Internet of Things","Temperature sensors;Temperature measurement;Green buildings;Buildings;Humidity;Air quality;Control systems","","3","","15","IEEE","3 Feb 2023","22-23 Nov. 2022","22-23 Nov. 2022","IEEE","IEEE Conferences"
"An Intelligent Heartbeat Management System Utilizing Fuzzy Logic","K. Suresh Kumar; R. Sudha; T. Suguna; M. K. Dharani","MBA Department, Panimalar Engineering College, Chennai, India; Department of CSE, Vasavi College of Engineering, Hyderabad, India; Department of ECE, Panimalar Engineering College, Chennai, India; Department of Artificial Intelligence, Kongu Engineering College, Erode, Tamil Nadu, India",Advances in Fuzzy-Based Internet of Medical Things (IoMT),"","2024","","","211","223","Summary <p>Currently, there is a growing interest in the area of health monitoring management. Since all family members are likely to be busy and occupied, monitoring the health status of elderly individuals has been an increasingly critical matter. The present study aims to investigate a system has that been devised to enable caretakers to access the temperature and pulse rate data of individuals under their care who are being monitored at home. It is possible to obtain data regarding the air quality within a household, which can subsequently prompt the system to produce an alert if any hazardous gases are identified. A fuzzy logic methodology has been employed to perform and analyze the data obtained from temperature, heart rate, and gas sensors. Outliers will be detected by utilizing both trained data and sensor data. The data that have been gathered and transmitted to the cloud have the capability of being retrieved through the utilization of the ThingSpeak platform. The forthcoming research endeavors involve automating message transmission to carer and physicians through deep learning techniques after identifying outliers.</p>","","9781394242245","10.1002/9781394242252.ch14","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10951954.pdf&bkn=10950225&pdfType=chapter","","Fuzzy logic;Monitoring;Temperature sensors;Cloud computing;Temperature measurement;Biomedical monitoring;Air quality;Internet of Medical Things;Data visualization;Wearable devices","","","","","","8 Apr 2025","","","Wiley","Wiley AI eBook Chapters"
"Power Quality Enhancement of Hybrid Renewable Energy Systems Using Fuzzy Logic Controller","S. Bihari; R. Narhete; S. Narhete","Department of EE Engineering, LNCTU, Bhopal, India; Research and Development Onprice Infotech Pvt Ltd, Bhopal, India; Developer IoT & Communication, Onprice Infotech Pvt Ltd, Bhopal, India",2024 IEEE 2nd International Conference on Innovations in High Speed Communication and Signal Processing (IHCSP),"16 Apr 2025","2024","","","1","6","With the continuous increase in energy demand due to industrialization, environmental challenges such as global temperature rise and air pollution have become acute. Integrating renewable energy sources (RES) into the power grid offers a sustainable solution to these issues. Traditional passive methods, such as under/overvoltage and under/over-frequency techniques, can manage power imbalances between loads and distributed generation (DG), but they struggle to detect power quality issues when supply and consumption are balanced. This paper presents a new approach to optimize power quality(PQ) in hybrid renewable energy systems using fuzzy logic controllers(FLC), in combination with inverters and maximum power point tracking (MPPT) techniques. While RES are being rapidly adopted due to their stability, their output is highly variable depending on weather conditions, which can result in power quality challenges. The FLC dynamically adjusts the parameters of the inverter and MPPT based on real-time voltage and current inputs, ensuring that the system constantly operates at its maximum power point. The inverter converts the generated DC power to AC power, making it suitable for grid integration. Simulation results demonstrate that this method enhances power quality by reducing output fluctuations, leading to a more stable and reliable power supply. Moreover, the proposed approach is easy to implement and can be adapted to various renewable energy systems, significantly improving system stability, optimizing power quality and reducing harmonic distortion.","","979-8-3503-6894-9","10.1109/IHCSP63227.2024.10960103","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10960103","Power quality optimization;Renewable energy systems;Fuzzy logic controller;Maximum power point tracking (MPPT);Hybrid energy systems;Inverter control;Distributed generation (DG);Power grid stability","Maximum power point trackers;Fuzzy logic;Renewable energy sources;Power quality;Power system stability;Inverters;Hybrid power systems;Stability analysis;Real-time systems;Thermal stability","","","","25","IEEE","16 Apr 2025","6-8 Dec. 2024","6-8 Dec. 2024","IEEE","IEEE Conferences"
"Urban Air Quality Analysis Using Ensemble Learning","I. Haidar; S. Itani; A. Kaouk; A. Kaddah; D. A. Alloul; Z. Doughan","Department of Electrical and Computer Engineering, Faculty of Engineering, Beirut Arab University, Debbieh, Lebanon; Department of Electrical and Computer Engineering, Faculty of Engineering, Beirut Arab University, Debbieh, Lebanon; Department of Electrical and Computer Engineering, Faculty of Engineering, Beirut Arab University, Debbieh, Lebanon; Department of Electrical and Computer Engineering, Faculty of Engineering, Beirut Arab University, Debbieh, Lebanon; Department of Electrical and Computer Engineering, Faculty of Engineering, Beirut Arab University, Debbieh, Lebanon; Department of Electrical and Computer Engineering, Faculty of Engineering, Beirut Arab University, Debbieh, Lebanon",2025 Eighth International Conference on Advances in Biomedical Engineering (ICABME),"5 Nov 2025","2025","","","1","6","This paper presents a machine learning framework for urban air quality analysis, combining traditional machine learning, fuzzy logic, and biomimetic pattern recognition. Our system processes real-time environmental sensor data including Nitrous Oxide (NO2) and Carbon Monoxide (CO), to predict Air Quality Index (AQI) values, reaching a 96% $R^{2}$ score. The proposed ensemble architecture integrates nine machine learning models, including Decision Trees (DT) Adaptive NeuroFuzzy Inference Systems (ANFIS) Biomimetic Neural Networks (BMN), and Feed-Forward Neural Networks (FFNN), demonstrating superior performance of the ensemble when compared to individual models across 10 randomized train-test splits. The experimental results reveal that our hybrid approach significantly reduces prediction variance compared to conventional singlemodel implementations. The research particularly highlights the effectiveness of combining symbolic AI (fuzzy logic, biomimetic networks) with subsymbolic approaches (neural networks and machine learning) for handling sensor data uncertainties. Finally, the predictive pipeline could potentially be integrated into monitoring stations to improve risk assessment capabilities, and could also be applied to assess air quality in localized areas.","2377-5696","979-8-3315-5389-0","10.1109/ICABME66883.2025.11211707","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11211707","Fuzzy Inference Systems;Machine Learning;Environmental Informatics;Biomimetic Neural Networks;Ensemble Learning","Fuzzy logic;Biological system modeling;Biomimetics;Atmospheric modeling;Machine learning;Predictive models;Air quality;Pattern recognition;Ensemble learning;Monitoring","","","","29","IEEE","5 Nov 2025","9-10 Oct. 2025","9-10 Oct. 2025","IEEE","IEEE Conferences"
"Fuzzy Logic-Inspired Dynamic Energy Optimization Mechanism for Resource-Constrained IoT Sensor Nodes With Renewable Power Sources","D. Kumar; N. Talukdar; A. Ghosh; N. Mazumdar; R. Kumar Singh","Indian Institute of Information Technology at Allahabad, Allahabad, India; Indian Institute of Information Technology at Allahabad, Allahabad, India; Indian Institute of Information Technology at Allahabad, Allahabad, India; Indian Institute of Information Technology at Allahabad, Allahabad, India; Indian Institute of Information Technology at Allahabad, Allahabad, India",IEEE Sensors Journal,"2 Dec 2025","2025","25","23","43446","43458","Energy sustainability remains a critical challenge in Internet of Things (IoT) networks, where sensor nodes are inherently constrained by limited battery capacity. Energy harvesting (EH) has emerged as a viable solution, enabling sensor nodes to replenish power from ambient sources such as solar radiation and radio frequency (RF) signals. However, the stochastic and intermittent nature of harvested energy poses significant challenges to conventional routing schemes that assume stable energy availability. This work proposes a fuzzy logic-based adaptive routing and positioning framework designed for EH-enabled IoT networks to ensure balanced energy utilization and resilient connectivity. The framework operates through two key phases: 1) strategic placement of EH nodes guided by contextual parameters such as residual energy, node density, and solar intensity; and 2) energy-aware routing that dynamically selects optimal communication paths based on link quality and node energy levels. By leveraging the decision-making flexibility of fuzzy logic, the system adapts in real time to fluctuating energy conditions, enhancing network longevity and reliability. Extensive simulations demonstrate that the proposed framework significantly improves energy efficiency, network sustainability, and data delivery performance compared to conventional routing approaches, highlighting its potential for large-scale, energy-constrained IoT deployments.","1558-1748","","10.1109/JSEN.2025.3623795","IIIT Allahabad, Government of India(grant numbers:IIITA/RO/2022/404); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11218712","Energy harvesting (EH);fuzzy logic;Internet of Things (IoT);routing protocols","Routing;Sensors;Energy harvesting;Peer-to-peer computing;Internet of Things;Energy efficiency;Adaptation models;Routing protocols;Radio frequency;Wireless sensor networks","","","","28","IEEE","27 Oct 2025","1 Dec.1, 2025","","IEEE","IEEE Journals"
"Industrial Ahu Control Improvements using Fuzzy Logic for Energy Efficiency and Comfort","S. Sulaiman; M. Rusydi; M. Razif; A. T. T. Swee; H. Hashim; H. Shabani","Faculty of Engineering Technology, Universiti Tun Hussein Onn Malaysia, Johor, Malaysia; Faculty of Engineering Technology, Universiti Tun Hussein Onn Malaysia, Johor, Malaysia; Faculty of Engineering Technology, Universiti Tun Hussein Onn Malaysia, Johor, Malaysia; iETCO EnergyCap Sdn Bhd, Selangor, Malaysia; Faculty of Engineering Technology, Universiti Tun Hussein Onn Malaysia, Johor, Malaysia; School of Electrical and Communications Engineering, Papua New Guinea University of Technology, Lae, Papua New Guinea","2025 3rd International Conference on Mechatronics, Control and Robotics (ICMCR)","16 Apr 2025","2025","","","108","112","This study focuses on how fuzzy logic control can improve the efficiency and performance of Air Handling Unit (AHU) systems. Traditional methods of controlling AHUs, like fixed-frequency operation, often waste energy, cause unstable temperatures, and wear out equipment faster. To solve these problems, a fuzzy logic controller was designed to regulate motor frequency and motorized valve positions based on real-time inputs from Supply Air Temperature (SAT) and Return Air Temperature (RAT). The controller used Modbus communication to exchange data between Variable Frequency Drive (VFD). The system was tested over 21 days at a commercial building, comparing its performance to fixed-frequency settings between 40 Hz to 50 Hz configuration. The results showed that fuzzy logic control could reduce energy usage by up to 38% and stable temperatures. This research shows that fuzzy logic can improve energy efficiency and comfort in HVAC systems, making it a useful solution for modern building management.","","979-8-3315-4454-6","10.1109/ICMCR64890.2025.10962815","Universiti Tun Hussein Onn Malaysia (UTHM); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10962815","fuzzy logic control;air handling unit (AHU);energy efficiency;variable frequency drive (VFD);HVAC system","Fuzzy logic;HVAC;Buildings;Variable speed drives;Motors;Valves;Energy efficiency;Real-time systems;Reliability;Frequency control","","","","22","IEEE","16 Apr 2025","14-16 Feb. 2025","14-16 Feb. 2025","IEEE","IEEE Conferences"
