value,k
Dashboard,8
Local_Display,4
NR,3
Alarm_Module,2
Other:Recommendations_Alerts,1
Other:ThingSpeak_Channel_Visualization,1
Other:Risk_Group_Graph,1
Other:Alarm_Message,1
Other:EPA_Color_Coded_Index,1
Other:FIAQI_TimeSeries_Graph,1
Other:Prediction_Plots,1
Other:Warning_Alert_Code,1
Map_Visualization,1
Medical_Alert,1
Other:SOM_Visualization,1
