value,k
Dashboard,9
Alarm_Module,5
Local_Display,4
NR,3
TimeSeries_Plot,2
Risk_Graph,1
AQI_Color_Index,1
Map_Visualization,1
Medical_Alert,1
Model_Visualization,1
