Dimension,Categoria,k,n,%
Tipo de FIS,ANFIS,7,19,36.8
Tipo de FIS,Mamdani,7,19,36.8
Tipo de FIS,Hybrid_Fuzzy,4,19,21.1
Tipo de FIS,Sugeno/TSK,4,19,21.1
Tipo de FIS,ADFIST,2,19,10.5
Tipo de FIS,Type1_Generic,2,19,10.5
Tipo de FIS,Tsukamoto,1,19,5.3
Rol difuso,Central,18,19,94.7
Rol difuso,Complementary,1,19,5.3
Proposito de inferencia,AQI_Classification,12,19,63.2
Proposito de inferencia,Risk_Alerting,8,19,42.1
Proposito de inferencia,Pollutant_Prediction,7,19,36.8
Proposito de inferencia,AQI_Estimation,5,19,26.3
Proposito de inferencia,Operational_Optimization,4,19,21.1
Base de reglas,Explicit_Rule_Table,11,19,57.9
Base de reglas,Adaptive_Rule_Base,7,19,36.8
Base de reglas,Equation_Based,1,19,5.3
Funciones de pertenencia,Linguistic_Labels,10,19,52.6
Funciones de pertenencia,Triangular,7,19,36.8
Funciones de pertenencia,Trapezoidal,4,19,21.1
Funciones de pertenencia,Gaussian,3,19,15.8
Funciones de pertenencia,Bell,2,19,10.5
Funciones de pertenencia,Implicit_MF,2,19,10.5
Funciones de pertenencia,Adaptive_MF,1,19,5.3
Defuzzificacion,NR,8,19,42.1
Defuzzificacion,Centroid,6,19,31.6
Defuzzificacion,Weighted_Average,6,19,31.6
Modelado de riesgo,AQI_Thresholds,9,19,47.4
Modelado de riesgo,Prediction_Based_Risk,6,19,31.6
Modelado de riesgo,Custom_Risk_Scale,2,19,10.5
Interpretabilidad,Rule_Transparency,16,19,84.2
Interpretabilidad,MF_Plots,8,19,42.1
Interpretabilidad,AQI_Mapping,6,19,31.6
Interpretabilidad,Confusion_Matrix,1,19,5.3
Interpretabilidad,Fuzzy_Surface,1,19,5.3
Interpretabilidad,SOM_Visualization,1,19,5.3
